,Point A,Point B,Point C,Point D,Point E,Error Classification
0,1.373475012684136,0.9589782770641097,0.8367898545247419,1.50296312420608,0.9788040886134429,A
1,1.940212884887449,1.3712912565760587,1.7436123940641926,1.3155894761542706,2.017418105841501,B
2,1.6903677291963612,2.0250280023625904,2.0252138827035164,1.5182779092209682,1.9343958326353898,A
3,1.5426691973346496,1.8884782218466885,1.641449899621921,1.6415260192576513,2.5508711297021267,B
4,1.429971342516622,1.5809477421322722,1.8208875695343205,1.2747354971968659,1.757213168170907,A
5,2.2138776078281133,1.664721673514962,1.6108431414438105,1.779370059011399,2.0597919421290936,B
6,1.8541378430261446,1.429953445947615,1.7550942499727658,1.3515709300716283,1.6424093607450878,C
7,2.1446836070366393,1.4991221480126171,1.4510226743612846,1.61017744418771,2.24572771159814,B
8,1.536226758575385,1.9552905053255594,1.8066695396847772,1.8716736670461573,2.5120827210516845,A
9,0.4311295033411988,0.630933316937795,0.4442155495125594,0.7142600869415229,0.3991852110758365,E
10,1.8584986538117945,1.5000816583369843,1.2226264016691015,1.4759481116853985,1.4759481116853985,B
11,1.1232766449348697,1.7536108004308453,1.5121112146689084,1.0803689565965409,1.5718633333665744,A
12,2.242628269019602,2.9035728315093228,1.9686498998975699,2.106148199382822,2.8987282505151972,C
13,0.8683914245992641,0.925595419659815,0.8683914245992641,0.9320471340128942,2.002385052929885,A
14,2.006312787345059,1.5303945434881023,1.331461289436187,1.5564313692179923,2.530965628829665,B
15,0.6810339673961003,0.4286097221266297,0.4229845752672502,0.6844351467491832,0.4238602192677324,E
16,1.8322045523433905,1.6939364566350728,1.5873012634209713,1.6272166895540827,2.5845909585889246,A
17,1.9060941931619686,2.972846545710261,2.7453834800128525,2.7233272554953785,2.4516978162282603,D
18,1.5793908343246925,2.043952123216002,1.24676632811612,1.2177535807148745,2.12523459062184,A
19,0.4261582496678421,0.3679791797811165,0.29142750313583354,0.30316429332434197,0.3570330058714435,E
20,1.774663123942462,1.4562925505178872,1.2757384425538998,1.3600800337722845,2.2218453463968633,B
21,1.3133997917323392,1.0625492902923157,1.0625492902923157,1.6101888226800465,1.5910579847767736,C
22,2.043863941125118,1.7693629594406675,1.5923293228139352,1.7611106496253468,2.5457268064892067,B
23,1.7037452502459622,1.3230097877117908,1.107958532333796,1.9362015528785004,1.3033100191868177,B
24,1.6568240646473833,2.2380040352081383,2.1853455909000035,2.436725721701147,1.744390863960241,D
25,1.2206757111298743,1.6664665910586818,1.1419697317056667,0.9928751969397283,1.9408950428829612,A
26,0.4153609766915681,0.4308852945395888,0.5446760867911162,0.33459158366353015,0.43115615232691706,E
27,1.943464640888171,2.400871854520696,3.1183434741838747,1.8582984850359636,2.541337498100855,D
28,1.4447987958527309,1.2503580361294755,1.4454807187761345,1.038560356635447,1.1026713705573896,C
29,1.5233531677815448,2.1958950941058895,1.451380839962539,1.5363514876444675,1.8907557708962577,A
30,0.4697895419968272,0.43865943151443126,0.3462068901939376,0.5735780030225891,0.4994874317954833,E
31,1.9898036193991695,2.6316698359779034,1.9032819863758166,1.747578663688051,2.5650271849307393,C
32,2.2426940808470492,1.8809145566118486,1.6703428397510667,2.7089464471945925,1.914973506039894,C
33,0.40746763127048036,0.3624032202968548,0.28914558083710074,0.2694683946803193,0.28969567664883594,E
34,1.7049372054019454,2.1999441714524406,1.726450385366622,1.524461098150325,2.187750643620045,C
35,3.1330313967560635,2.7149025555319386,2.5779641378214473,2.5779641378214473,2.3831082415446074,D
36,0.4085908156972623,0.38644158834548187,0.3892999751283234,0.2971588030602633,0.26570916322291555,E
37,1.7729198594916233,2.1192712019529654,1.5667653588381303,2.089411692011989,1.5182686259221845,C
38,0.3088396373324491,0.4398788474694957,0.33647192996481545,0.2684369144970899,0.37365228605435796,E
39,1.989012174215564,2.470526061011247,1.6483769266699548,2.255451908255929,1.735361107507771,C
40,2.3071075581100366,2.799652179637661,2.2761027399055473,2.9302604555554126,2.2063753322898485,D
41,1.9537448994712427,2.616037038993049,2.4054756472426653,2.3285474368157217,1.9919722780440163,D
42,2.6371825096536985,3.5746391653721528,2.533039221113393,2.492313905880361,2.7115031177349422,D
43,2.725826503879812,2.837436412394468,2.7832224370179524,2.4510737035887757,2.4773373830403758,D
44,0.25517801151430297,0.25845484608651814,0.3994742065398118,0.3391578046847519,0.34436227971389194,E
